name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
victor assani,5.0,"Keren, recomended lah ..... peringkat ke-7 Perguruan Tinggi Swasta terbaik di Indonesia versi Times Higher Education Impact Rangkings.",keren recomended peringkat ke7 perguruan swasta terbaik indonesia versi times higher education impact rangkings,keren recomended peringkat ke7 guru swasta baik indonesia versi times higher education impact rangkings,"['keren', 'recomended', 'peringkat', 'ke7', 'guru', 'swasta', 'baik', 'indonesia', 'versi', 'times', 'higher', 'education', 'impact', 'rangkings']","['keren', 'recomended', 'peringkat', 'ke7', 'guru', 'swasta', 'baik', 'indonesia', 'versi', 'times', 'higher', 'education', 'impact', 'rangkings']"
yozika arvio,5.0,"Kampus teknik terbaik di bidang energi dan kelistrikan, lulusan nya dijamin mempunyai sertifikasi keahlian.. TOP!",kampus teknik terbaik bidang energi kelistrikan lulusan dijamin sertifikasi keahlian top,kampus teknik baik bidang energi listrik lulus jamin sertifikasi ahli top,"['kampus', 'teknik', 'baik', 'bidang', 'energi', 'listrik', 'lulus', 'jamin', 'sertifikasi', 'ahli', 'top']","['kampus', 'teknik', 'baik', 'bidang', 'energi', 'listrik', 'lulus', 'jamin', 'sertifikasi', 'ahli', 'top']"
Dwi Listiawati,5.0,"Kampusnya mantap, program2 studinya jg menjanjikan peluang kerja kedepan…
Recomended lah…👍",kampusnya mantap program2 studinya menjanjikan peluang kerja kedepan recomended lah ,kampus mantap program2 studi janji peluang kerja depan recomended lah,"['kampus', 'mantap', 'program2', 'studi', 'janji', 'peluang', 'kerja', 'depan', 'recomended', 'lah']","['kampus', 'mantap', 'program2', 'studi', 'janji', 'peluang', 'kerja', 'depan', 'recomended', 'lah']"
Wanti Wanti,5.0,Dikarenakan ada pandemi aktifitas kampus lumpuh total alias kegiatan pembelajaran tidak bisa berjalan.,pandemi aktifitas kampus lumpuh total alias kegiatan pembelajaran berjalan,pandemi aktifitas kampus lumpuh total alias giat ajar jalan,"['pandemi', 'aktifitas', 'kampus', 'lumpuh', 'total', 'alias', 'giat', 'ajar', 'jalan']","['pandemi', 'aktifitas', 'kampus', 'lumpuh', 'total', 'alias', 'giat', 'ajar', 'jalan']"
Extra fooding,5.0,👍, ,,[],[]
sunggul simamora,5.0,Mantap lebih di tingkatkan krukulum nya dan praktek...,mantap tingkatkan krukulum praktek,mantap tingkat krukulum praktek,"['mantap', 'tingkat', 'krukulum', 'praktek']","['mantap', 'tingkat', 'krukulum', 'praktek']"
Fatih Tinu,5.0,Di sepanjang jalan panasnya minta ampun eh pas di kampus adem banget sejuk banyak angin.,jalan panasnya ampun eh pas kampus adem banget sejuk angin,jalan panas ampun eh pas kampus adem banget sejuk angin,"['jalan', 'panas', 'ampun', 'eh', 'pas', 'kampus', 'adem', 'banget', 'sejuk', 'angin']","['jalan', 'panas', 'ampun', 'eh', 'pas', 'kampus', 'adem', 'banget', 'sejuk', 'angin']"
Haris Manjawakang,5.0,"Sangat menarik, karena merupakan salah satu perguruan tinggi yang paling multi etnis yg ada dijakarta",menarik salah perguruan multi etnis dijakarta,tarik salah guru multi etnis dijakarta,"['tarik', 'salah', 'guru', 'multi', 'etnis', 'dijakarta']","['tarik', 'salah', 'guru', 'multi', 'etnis', 'dijakarta']"
Pandu Lesmana,5.0,"Kampus gue.. Asli makin keren..
Semoga makin jaya 🌹🌹🌹",kampus gue asli keren semoga jaya ,kampus gue asli keren moga jaya,"['kampus', 'gue', 'asli', 'keren', 'moga', 'jaya']","['kampus', 'gue', 'asli', 'keren', 'moga', 'jaya']"
abdur rasyid,5.0,Kampus yang asri nyaman mencetak lulusan khas memiliki kemampuan dibidang energi dan ketenagalistrikan,kampus asri nyaman mencetak lulusan khas memiliki kemampuan dibidang energi ketenagalistrikan,kampus asri nyaman cetak lulus khas milik mampu bidang energi ketenagalistrikan,"['kampus', 'asri', 'nyaman', 'cetak', 'lulus', 'khas', 'milik', 'mampu', 'bidang', 'energi', 'ketenagalistrikan']","['kampus', 'asri', 'nyaman', 'cetak', 'lulus', 'khas', 'milik', 'mampu', 'bidang', 'energi', 'ketenagalistrikan']"
cing onif,5.0,Kampus keren dan ramah lingkungan,kampus keren ramah lingkungan,kampus keren ramah lingkung,"['kampus', 'keren', 'ramah', 'lingkung']","['kampus', 'keren', 'ramah', 'lingkung']"
Yunk Kurnia,4.0,Tempat yg nyaman...kelihatan terawat,nyamankelihatan terawat,nyamankelihatan awat,"['nyamankelihatan', 'awat']","['nyamankelihatan', 'awat']"
kuswowo kuswowo,5.0,"ITPLN👍 Kombinasi Terapan dan Teori yg komplit dan aplikative, Lulusannya  siap pakai di Pasar dan Industri👍👍",itpln kombinasi terapan teori komplit aplikative lulusannya pakai pasar industri ,itpln kombinasi terap teori komplit aplikative lulus pakai pasar industri,"['itpln', 'kombinasi', 'terap', 'teori', 'komplit', 'aplikative', 'lulus', 'pakai', 'pasar', 'industri']","['itpln', 'kombinasi', 'terap', 'teori', 'komplit', 'aplikative', 'lulus', 'pakai', 'pasar', 'industri']"
