name,rating,snippet,temp_text,stemmed_text,tokenized_text,cleaned_text
Muhammad nabil Faqih,5.0,mantap sekali univ ini,mantap univ,mantap univ,"['mantap', 'univ']","['mantap', 'univ']"
Bianca Nurfahira,5.0,Kampus ai tercintaa is the best🔥🔥,kampus ai tercintaa is the best ,kampus ai tercintaa is the best,"['kampus', 'ai', 'tercintaa', 'is', 'the', 'best']","['kampus', 'ai', 'tercintaa', 'is', 'the', 'best']"
Nuril Hayat,5.0,"Mantap, kampus paling nyaman dan keren di buah batu bandung. fasilitas mantap. nyaman. anak anak nya ramah. suka nongkrong kalo malem depan bunderan",mantap kampus nyaman keren buah batu bandung fasilitas mantap nyaman anak anak ramah suka nongkrong malem bunderan,mantap kampus nyaman keren buah batu bandung fasilitas mantap nyaman anak anak ramah suka nongkrong malem bunderan,"['mantap', 'kampus', 'nyaman', 'keren', 'buah', 'batu', 'bandung', 'fasilitas', 'mantap', 'nyaman', 'anak', 'anak', 'ramah', 'suka', 'nongkrong', 'malem', 'bunderan']","['mantap', 'kampus', 'nyaman', 'keren', 'buah', 'batu', 'bandung', 'fasilitas', 'mantap', 'nyaman', 'anak', 'anak', 'ramah', 'suka', 'nongkrong', 'malem', 'bunderan']"
KARA,2.0,Membuat Lalulintas di semua Jalan MACET,lalulintas jalan macet,lalulintas jalan macet,"['lalulintas', 'jalan', 'macet']","['lalulintas', 'jalan', 'macet']"
Hilman Pamungkas,5.0,Keamanan tempat parkirnya benar-benar dijaga. Tentu saja demi keamanan dan kenyamanan setiap civitas akademikanya. Gedungnya banyak dan megah-megah. Tempatnya sangat luas dan moderen sekali. Tentu saja free wifi yang menjadikannya semakin menarik.,keamanan parkirnya benarbenar dijaga keamanan kenyamanan civitas akademikanya gedungnya megahmegah tempatnya luas moderen free wifi menjadikannya menarik,aman parkir benarbenar jaga aman nyaman civitas akademikanya gedung megahmegah tempat luas moderen free wifi jadi tarik,"['aman', 'parkir', 'benarbenar', 'jaga', 'aman', 'nyaman', 'civitas', 'akademikanya', 'gedung', 'megahmegah', 'tempat', 'luas', 'moderen', 'free', 'wifi', 'jadi', 'tarik']","['aman', 'parkir', 'benarbenar', 'jaga', 'aman', 'nyaman', 'civitas', 'akademikanya', 'gedung', 'megahmegah', 'tempat', 'luas', 'moderen', 'free', 'wifi', 'jadi', 'tarik']"
Dhanu Dewantara,5.0,Fasilitasnya cukup banyak dan mampu menunjang  mahasiswa. Saya bangga menjadi lulusan sini. Maju & sukses Tel-U,fasilitasnya menunjang mahasiswa bangga lulusan maju sukses telu,fasilitas tunjang mahasiswa bangga lulus maju sukses telu,"['fasilitas', 'tunjang', 'mahasiswa', 'bangga', 'lulus', 'maju', 'sukses', 'telu']","['fasilitas', 'tunjang', 'mahasiswa', 'bangga', 'lulus', 'maju', 'sukses', 'telu']"
Lukman,5.0,Tempat dan kondisi lingkungan nyaman,kondisi lingkungan nyaman,kondisi lingkung nyaman,"['kondisi', 'lingkung', 'nyaman']","['kondisi', 'lingkung', 'nyaman']"
indah dewi martika,1.0,"kamous ini merupakan biang macet di bojongsoang, banyak mahasiswanya yang membawa kendaraan dan membikin macet jalan bojongsoang ketika mereka hendak masuk atau keluar ke universitas ini.
polisi sudah berusaha sekuat mungkin agar jalanan tidak macet, tapi sepertinya pihak rektorat kampus tidak peduli dengan usaha pihak kepolisian ini, tidak terlihat usaha dari pihak kampus untuk meredakan kemacetan yang sudah semakin parah di jalan bojongsoang akibat keluar masuk kendaraan ke universitas telkom... kampus payah...",kamous biang macet bojongsoang mahasiswanya membawa kendaraan membikin macet jalan bojongsoang masuk universitas polisi berusaha sekuat jalanan macet rektorat kampus peduli usaha kepolisian usaha kampus meredakan kemacetan parah jalan bojongsoang akibat masuk kendaraan universitas telkom kampus payah,kamous biang macet bojongsoang mahasiswa bawa kendara bikin macet jalan bojongsoang masuk universitas polisi usaha kuat jalan macet rektorat kampus peduli usaha polisi usaha kampus reda macet parah jalan bojongsoang akibat masuk kendara universitas telkom kampus payah,"['kamous', 'biang', 'macet', 'bojongsoang', 'mahasiswa', 'bawa', 'kendara', 'bikin', 'macet', 'jalan', 'bojongsoang', 'masuk', 'universitas', 'polisi', 'usaha', 'kuat', 'jalan', 'macet', 'rektorat', 'kampus', 'peduli', 'usaha', 'polisi', 'usaha', 'kampus', 'reda', 'macet', 'parah', 'jalan', 'bojongsoang', 'akibat', 'masuk', 'kendara', 'universitas', 'telkom', 'kampus', 'payah']","['kamous', 'biang', 'macet', 'bojongsoang', 'mahasiswa', 'bawa', 'kendara', 'bikin', 'macet', 'jalan', 'bojongsoang', 'masuk', 'universitas', 'polisi', 'usaha', 'kuat', 'jalan', 'macet', 'rektorat', 'kampus', 'peduli', 'usaha', 'polisi', 'usaha', 'kampus', 'reda', 'macet', 'parah', 'jalan', 'bojongsoang', 'akibat', 'masuk', 'kendara', 'universitas', 'telkom', 'kampus', 'payah']"
Chakita Bangun,5.0,"Kampus yang sangat luas, dengan berbagai fakultas di dalamnya, sekarang sudah termasuk universitas top di dunia, bisa bersaing dengan mahasiswanya yang berprestasi, dan semoga bisa meluluskan mahasiswa mahasiswi yang bisa membangun Indonesia dengan lebih baik menghadapi perkembangan digital saat ini",kampus luas fakultas dalamnya universitas top dunia bersaing mahasiswanya berprestasi semoga meluluskan mahasiswa mahasiswi membangun indonesia menghadapi perkembangan digital,kampus luas fakultas dalam universitas top dunia saing mahasiswa prestasi moga lulus mahasiswa mahasiswi bangun indonesia hadap kembang digital,"['kampus', 'luas', 'fakultas', 'dalam', 'universitas', 'top', 'dunia', 'saing', 'mahasiswa', 'prestasi', 'moga', 'lulus', 'mahasiswa', 'mahasiswi', 'bangun', 'indonesia', 'hadap', 'kembang', 'digital']","['kampus', 'luas', 'fakultas', 'dalam', 'universitas', 'top', 'dunia', 'saing', 'mahasiswa', 'prestasi', 'moga', 'lulus', 'mahasiswa', 'mahasiswi', 'bangun', 'indonesia', 'hadap', 'kembang', 'digital']"
Mochamad rully septyana,5.0,"Kampus nya bagus, gede, dan luas. Mahasiswa nya cantik cantik😂❤️❤️
Sekitar situ banyak gojek, banyak cafe, banyak pedagang kaki lima juga. Suasana nya ramee banget pokoknya, malem juga tetep rame.",kampus bagus gede luas mahasiswa cantik cantik situ gojek cafe pedagang kaki suasana ramee banget pokoknya malem tetep rame,kampus bagus gede luas mahasiswa cantik cantik situ gojek cafe dagang kaki suasana ramee banget pokok malem tetep rame,"['kampus', 'bagus', 'gede', 'luas', 'mahasiswa', 'cantik', 'cantik', 'situ', 'gojek', 'cafe', 'dagang', 'kaki', 'suasana', 'ramee', 'banget', 'pokok', 'malem', 'tetep', 'rame']","['kampus', 'bagus', 'gede', 'luas', 'mahasiswa', 'cantik', 'cantik', 'situ', 'gojek', 'cafe', 'dagang', 'kaki', 'suasana', 'ramee', 'banget', 'pokok', 'malem', 'tetep', 'rame']"
